# FIELDS: tokenid	parserid	token	lemma	pos	entity	head	deprel
1	1	Signor	signore	S	O	8	vocative
57	19	della	della	E+RD	O	21	case
58	20	sua	suo	AP	O	21	det:poss
59	21	attuazione	attuazione	S	O	17	nmod
60	22	sia	essere	V	O	17	advcl
61	23	a	a	E	O	24	case
62	24	livello	livello	S	O	22	nmod
63	25	nazionale	nazionale	A	O	24	amod
64	26	che	che	PR	O	24	nmod
65	27	a	a	E	O	28	case
66	28	livello	livello	S	O	26	nmod
67	29	di	di	E	O	30	case
68	30	Unione	unione	S	LOC	28	nmod
69	31	europea	europeo	A	LOC	30	amod
70	32	.	[PUNCT]	FS	O	17	punct

71	1	Quanto	quanto	B	O	3	case
72	2	alla	alla	E+RD	O	1	mwe
73	3	questione	questione	S	O	23	nmod
74	4	attinente	attinente	A	O	3	amod
75	5	alla	alla	E+RD	O	6	case
76	6	tratta	tratta	S	O	3	nmod
77	7	delle	della	E+RD	O	8	case
78	8	donne	donna	S	O	6	nmod
79	9	,	[PUNCT]	FF	O	3	punct
80	10	affrontata	affrontare	V	O	3	acl
81	11	nel	nel	E+RD	O	12	case
82	12	capitolo	capitolo	S	O	10	nmod
83	13	sulla	sulla	E+RD	O	14	case
84	14	violenza	violenza	S	O	12	nmod
85	15	contro	contro	E	O	17	case
86	16	le	la	RD	O	17	det
87	17	donne	donna	S	O	14	nmod
88	18	,	[PUNCT]	FF	O	3	punct
89	19	gli	il	RD	O	20	det
90	20	obiettivi	obiettivo	S	O	23	nsubj
91	21	sono	essere	V	O	23	cop
92	22	molto	molto	B	O	23	advmod
93	23	chiari	chiaro	A	O	0	root
94	24	.	[PUNCT]	FS	O	23	punct

95	1	Le	la	RD	O	2	det
96	2	misure	misura	S	O	24	nsubj
97	3	che	che	PR	O	23	dobj
98	4	i	il	RD	O	5	det
99	5	governi	governo	S	O	23	nsubj
100	6	e	e	CC	O	5	cc
101	7	le	la	RD	O	8	det
102	8	organizzazioni	organizzazione	S	O	5	conj
103	9	regionali	regionale	A	O	8	amod
104	10	ed	ed	CC	O	9	cc
105	11	internazionali	internazionale	A	O	9	conj
106	12	dei	del	E+RD	O	13	case
107	13	paesi	paese	S	O	8	nmod
108	14	di	di	E	O	15	case
109	15	origine	origine	S	O	13	nmod
110	16	,	[PUNCT]	FF	O	13	punct
111	17	di	di	E	O	18	case
112	18	transito	transito	S	O	13	conj
113	19	e	e	CC	O	13	cc
114	20	di	di	E	O	21	case
115	21	destinazione	destinazione	S	O	13	conj
116	22	devono	dovere	VM	O	23	aux
117	23	adottare	adottare	V	O	2	acl:relcl
118	24	sono	essere	V	O	0	root
119	25	di	di	E	O	27	case
120	26	vario	vario	A	O	27	amod
121	27	tipo	tipo	S	O	24	nmod
122	28	e	e	CC	O	24	cc
123	29	lei	lei	PE	O	30	nsubj
124	30	fa	fare	V	O	24	conj
125	31	bene	bene	B	O	30	advmod
126	32	,	[PUNCT]	FF	O	30	punct
127	33	di	di	E	O	34	case
128	34	fronte	fronte	S	O	30	nmod
129	35	al	al	E+RD	O	36	case
130	36	pericolo	pericolo	S	O	34	nmod
131	37	di	di	E	O	39	case
132	38	detto	detto	A	O	39	amod
133	39	traffico	traffico	S	O	36	nmod
134	40	,	[PUNCT]	FF	O	30	punct
135	41	a	a	E	O	42	mark
136	42	puntare	puntare	V	O	30	advcl
137	43	il	il	RD	O	44	det
138	44	dito	dito	S	O	42	dobj
139	45	contro	contro	E	O	47	case
140	46	la	la	RD	O	47	det
141	47	violazione	violazione	S	O	42	nmod
142	48	della	della	E+RD	O	49	case
143	49	sicurezza	sicurezza	S	O	47	nmod
144	50	e	e	CC	O	49	cc
145	51	della	della	E+RD	O	52	case
146	52	dignità	dignità	S	O	49	conj
147	53	delle	della	E+RD	O	54	case
148	54	donne	donna	S	O	52	nmod
149	55	in	in	E	O	56	case
150	56	Europa	Europa	SP	LOC	52	nmod
151	57	.	[PUNCT]	FS	O	24	punct

152	1	Può	potere	VM	O	3	aux
153	2	essere	essere	V	O	3	cop
154	3	certa	certo	A	O	0	root
155	4	del	del	E+RD	O	5	case
156	5	fatto	fatto	S	O	3	nmod
157	6	che	che	CS	O	10	mark
158	7	le	la	RD	O	8	det
159	8	Istituzioni	istituzione	S	O	10	nsubj
160	9	stanno	stare	VA	O	10	aux
161	10	affrontando	affrontare	V	O	5	acl
162	11	la	la	RD	O	12	det
163	12	questione	questione	S	O	10	dobj
164	13	molto	molto	B	O	14	advmod
165	14	seriamente	seriamente	B	O	10	advmod
166	15	ed	ed	CC	O	14	cc
167	16	infatti	infatti	B	O	17	advmod
168	17	sono	essere	V	O	20	aux
169	18	già	già	B	O	20	advmod
170	19	state	essere	VA	O	20	auxpass
171	20	adottate	adottare	V	O	14	conj
172	21	alcune	alcun	DI	O	22	det
173	22	misure	misura	S	O	20	nsubjpass
174	23	volte	volgere	V	O	22	acl
175	24	a	a	E	O	25	mark
176	25	combattere	combattere	V	O	23	xcomp
177	26	tale	tale	DD	O	27	det
178	27	traffico	traffico	S	O	25	dobj
179	28	,	[PUNCT]	FF	O	27	punct
180	29	che	che	PR	O	30	nsubj
181	30	passo	passo	S	O	27	acl:relcl
182	31	ad	ad	E	O	32	mark
183	32	esporre	esporre	V	O	30	acl
184	33	nel	nel	E+RD	O	34	case
185	34	modo	modo	S	O	32	nmod
186	35	più	più	B	O	36	advmod
187	36	sintetico	sintetico	A	O	34	amod
188	37	possibile	possibile	A	O	34	amod
189	38	.	[PUNCT]	FS	O	3	punct

190	1	In	in	E	O	3	case
191	2	primo	primo	NO	O	3	amod
192	3	luogo	luogo	S	O	5	nmod
193	4	va	andare	VM	O	5	aux
194	5	segnalato	segnalare	V	O	0	root
195	6	che	che	CS	O	20	mark
196	7	già	già	B	O	9	advmod
197	8	nel	nel	E+RD	O	9	case
198	9	novembre	novembre	S	O	20	nmod
199	10	1993	1993	N	O	9	nummod
200	11	il	il	RD	O	12	det
201	12	Consiglio	consiglio	S	ORG	20	nsubj
202	13	"	[PUNCT]	FB	O	14	punct
203	14	giustizia	giustizia	S	O	12	compound
204	15	e	e	CC	O	14	cc
205	16	affari	affare	S	O	14	conj
206	17	interni	interno	A	O	16	amod
207	18	"	[PUNCT]	FB	O	14	punct
208	19	aveva	avere	VA	O	20	aux
209	20	messo	mettere	V	O	5	advcl
210	21	a	a	E	O	22	case
211	22	punto	punto	S	O	20	nmod
212	23	una	una	RI	O	24	det
213	24	serie	serie	S	O	20	dobj
214	25	di	di	E	O	26	case
215	26	raccomandazioni	raccomandazione	S	O	24	nmod
216	27	sul	sul	E+RD	O	28	case
217	28	commercio	commercio	S	O	26	nmod
218	29	degli	del	E+RD	O	30	case
219	30	esseri	essere	S	O	28	nmod
220	31	umani	umano	A	O	30	amod
221	32	ai	al	E+RD	O	33	case
222	33	fini	fine	S	O	26	nmod
223	34	della	della	E+RD	O	35	case
224	35	prostituzione	prostituzione	S	O	33	nmod
225	36	,	[PUNCT]	FF	O	26	punct
226	37	volte	volta	S	O	26	nmod
227	38	a	a	E	O	39	mark
228	39	combattere	combattere	V	O	37	acl
229	40	tale	tale	DD	O	41	det
230	41	fenomeno	fenomeno	S	O	39	dobj
231	42	.	[PUNCT]	FS	O	5	punct

232	1	Due	due	N	O	2	nummod
233	2	anni	anno	S	O	9	nmod
234	3	più	più	B	O	4	advmod
235	4	tardi	tardi	B	O	2	advmod
236	5	,	[PUNCT]	FF	O	2	punct
237	6	l'	l'	RD	O	7	det
238	7	Assemblea	assemblea	S	ORG	9	nsubj
239	8	ha	avere	VA	O	9	aux
240	9	fatto	fare	V	O	0	root
241	10	suo	suo	AP	O	12	det:poss
242	11	questo	questo	DD	O	12	det
243	12	tema	tema	S	O	9	dobj
244	13	:	[PUNCT]	FC	O	9	punct
245	14	oltre	oltre	B	O	17	mark
246	15	ad	ad	E	O	14	mwe
247	16	avere	avere	VA	O	17	aux
248	17	adottato	adottare	V	O	26	advcl
249	18	un	un	RI	O	20	det
250	19	certo	certo	A	O	20	amod
251	20	numero	numero	S	O	17	dobj
252	21	di	di	E	O	22	case
253	22	risoluzioni	risoluzione	S	O	20	nmod
254	23	,	[PUNCT]	FF	O	17	punct
255	24	ha	avere	VA	O	26	aux
256	25	anche	anche	B	O	26	advmod
257	26	prodotto	produrre	V	O	9	advcl
258	27	una	una	RI	O	28	det
259	28	relazione	relazione	S	O	26	dobj
260	29	ed	ed	CC	O	28	cc
261	30	una	una	RI	O	31	det
262	31	risoluzione	risoluzione	S	O	28	conj
263	32	riguardanti	riguardare	V	O	31	acl
264	33	proprio	proprio	B	O	35	advmod
265	34	la	la	RD	O	35	det
266	35	tratta	tratta	S	O	32	dobj
267	36	degli	del	E+RD	O	37	case
268	37	esseri	essere	S	O	35	nmod
269	38	umani	umano	A	O	37	amod
270	39	.	[PUNCT]	FS	O	9	punct

271	1	A	a	E	O	3	case
272	2	sua	suo	AP	O	3	det:poss
273	3	volta	volta	S	O	10	nmod
274	4	la	la	RD	O	5	det
275	5	Commissione	commissione	S	ORG	10	nsubj
276	6	,	[PUNCT]	FF	O	5	punct
277	7	nel	nel	E+RD	O	8	case
278	8	1996	1996	N	O	5	nummod
279	9	,	[PUNCT]	FF	O	5	punct
280	10	vale	valere	V	O	0	root
281	11	a	a	E	O	12	mark
282	12	dire	dire	V	O	10	xcomp
283	13	esattamente	esattamente	B	O	12	advmod
284	14	un	un	RI	O	15	det
285	15	anno	anno	S	O	12	dobj
286	16	dopo	dopo	E	O	18	case
287	17	l'	l'	RD	O	18	det
288	18	adozione	adozione	S	O	15	nmod
289	19	del	del	E+RD	O	20	case
290	20	progetto	progetto	S	O	18	nmod
291	21	di	di	E	O	22	case
292	22	Pechino	Pechino	SP	LOC	20	nmod
293	23	,	[PUNCT]	FF	O	12	punct
294	24	ha	avere	VA	O	25	aux
295	25	emesso	emettere	V	O	12	conj
296	26	la	la	RD	O	29	det
297	27	sua	suo	AP	O	29	det:poss
298	28	prima	primo	NO	O	29	amod
299	29	comunicazione	comunicazione	S	O	25	dobj
300	30	sulla	sulla	E+RD	O	31	case
301	31	questione	questione	S	O	29	nmod
302	32	della	della	E+RD	O	33	case
303	33	tratta	tratta	S	O	31	nmod
304	34	delle	della	E+RD	O	35	case
305	35	donne	donna	S	O	33	nmod
306	36	e	e	CC	O	12	cc
307	37	lanciato	lanciare	V	O	12	conj
308	38	il	il	RD	O	40	det
309	39	cosiddetto	cosiddetto	A	O	40	amod
310	40	programma	programma	S	O	37	dobj
311	41	STOP	STOP	SP	O	40	nmod
312	42	,	[PUNCT]	FF	O	40	punct
313	43	con	con	E	O	45	case
314	44	una	una	RI	O	45	det
315	45	dotazione	dotazione	S	O	40	nmod
316	46	annuale	annuale	A	O	45	amod
317	47	di	di	E	O	49	case
318	48	6,5	6,5	N	O	49	nummod
319	49	milioni	milione	S	O	45	nmod
320	50	di	di	E	O	51	case
321	51	euro	euro	S	O	49	nmod
322	52	.	[PUNCT]	FS	O	10	punct

323	1	Ritengo	ritenere	V	O	0	root
324	2	non	non	BN	O	5	neg
325	3	si	si	PC	O	5	expl:impers
326	4	debba	dovere	VM	O	5	aux
327	5	sottovalutare	sottovalutare	V	O	1	ccomp
328	6	l'	l'	RD	O	7	det
329	7	importanza	importanza	S	O	5	dobj
330	8	di	di	E	O	10	case
331	9	questo	questo	DD	O	10	det
332	10	programma	programma	S	O	7	nmod
333	11	,	[PUNCT]	FF	O	10	punct
334	12	dato	dato	S	O	10	appos
335	13	che	che	PR	O	15	nsubj
336	14	ha	avere	VA	O	15	aux
337	15	contribuito	contribuire	V	O	12	acl:relcl
338	16	a	a	E	O	17	mark
339	17	finanziare	finanziare	V	O	15	xcomp
340	18	molti	molto	DI	O	19	det
341	19	progetti	progetto	S	O	17	dobj
342	20	,	[PUNCT]	FF	O	1	punct
343	21	rivelandosi	rivelare	V+PC	O	1	advcl
344	22	realmente	realmente	B	O	23	advmod
345	23	efficace	efficace	A	O	21	xcomp
346	24	.	[PUNCT]	FS	O	1	punct

347	1	In	in	E	O	3	case
348	2	terzo	terzo	NO	O	3	amod
349	3	luogo	luogo	S	O	15	nmod
350	4	,	[PUNCT]	FF	O	3	punct
351	5	la	la	RD	O	6	det
352	6	Commissione	commissione	S	ORG	15	nsubj
353	7	e	e	CC	O	6	cc
354	8	l'	l'	RD	O	9	det
355	9	Organizzazione	organizzazione	S	O	6	conj
356	10	internazionale	internazionale	A	O	9	amod
357	11	per	per	E	O	13	case
358	12	le	la	RD	O	13	det
359	13	migrazioni	migrazione	S	O	6	nmod
360	14	hanno	avere	VA	O	15	aux
361	15	organizzato	organizzare	V	O	0	root
362	16	a	a	E	O	17	case
363	17	Vienna	Vienna	SP	LOC	15	nmod
364	18	,	[PUNCT]	FF	O	15	punct
365	19	sempre	sempre	B	O	21	advmod
366	20	nel	nel	E+RD	O	21	case
367	21	1996	1996	N	O	27	nummod
368	22	,	[PUNCT]	FF	O	21	punct
369	23	una	una	RI	O	24	det
370	24	conferenza	conferenza	S	O	27	nsubj
371	25	di	di	E	O	26	case
372	26	carattere	carattere	S	O	24	nmod
373	27	interdisciplinare	interdisciplinare	V	O	15	conj
374	28	su	su	E	O	30	case
375	29	questo	questo	DD	O	30	det
376	30	tema	tema	S	O	27	nmod
377	31	,	[PUNCT]	FF	O	27	punct
378	32	riunendo	riunire	V	O	27	advcl
379	33	rappresentanti	rappresentante	S	O	32	dobj
380	34	degli	del	E+RD	O	35	case
381	35	Stati	stato	S	O	33	nmod
382	36	membri	membro	S	O	35	compound
383	37	,	[PUNCT]	FF	O	32	punct
384	38	delle	della	E+RD	O	39	case
385	39	Istituzioni	Istituzioni	SP	O	32	nmod
386	40	,	[PUNCT]	FF	O	39	punct
387	41	dell'	dell'	E+RD	O	42	case
388	42	Unione	Unione	SP	LOC	39	nmod
389	43	europea	europea	SP	LOC	42	name
390	44	,	[PUNCT]	FF	O	42	punct
391	45	di	di	E	O	46	case
392	46	ambienti	ambiente	S	O	42	nmod
393	47	accademici	accademico	A	O	46	amod
394	48	e	e	CC	O	46	cc
395	49	di	di	E	O	51	case
396	50	varie	vario	A	O	51	amod
397	51	organizzazioni	organizzazione	S	O	46	conj
398	52	non	non	BN	O	53	neg
399	53	governative	governativo	A	O	51	amod
400	54	.	[PUNCT]	FS	O	15	punct

401	1	Tutta	tutto	V	O	0	root
402	2	una	una	RI	O	3	det
403	3	serie	serie	S	O	1	dobj
404	4	di	di	E	O	5	case
405	5	conclusioni	conclusione	S	O	3	nmod
406	6	trae	trarre	A	O	5	amod
407	7	origine	origine	S	O	5	nmod
408	8	da	da	E	O	10	case
409	9	tale	tale	DD	O	10	det
410	10	lavoro	lavoro	S	O	7	nmod
411	11	.	[PUNCT]	FS	O	1	punct

412	1	Infine	infine	B	O	10	advmod
413	2	,	[PUNCT]	FF	O	1	punct
414	3	sempre	sempre	B	O	5	advmod
415	4	nel	nel	E+RD	O	5	case
416	5	1996	1996	N	O	10	nummod
417	6	,	[PUNCT]	FF	O	5	punct
418	7	il	il	RD	O	8	det
419	8	Consiglio	consiglio	S	ORG	10	nsubj
420	9	ha	avere	VA	O	10	aux
421	10	approvato	approvare	V	O	0	root
422	11	un'	un'	RI	O	12	det
423	12	azione	azione	S	O	10	dobj
424	13	comune	comune	A	O	12	amod
425	14	tesa	tendere	V	O	12	acl
426	15	a	a	E	O	16	mark
427	16	combattere	combattere	V	O	14	xcomp
428	17	la	la	RD	O	18	det
429	18	tratta	tratta	S	O	16	dobj
430	19	di	di	E	O	20	case
431	20	esseri	essere	S	O	18	nmod
432	21	umani	umano	A	O	20	amod
433	22	e	e	CC	O	16	cc
434	23	lo	lo	PC	O	24	det
435	24	sfruttamento	sfruttamento	S	O	16	conj
436	25	sessuale	sessuale	A	O	24	amod
437	26	dei	del	E+RD	O	27	case
438	27	bambini	bambino	S	O	24	nmod
439	28	.	[PUNCT]	FS	O	10	punct

440	1	Nel	nel	E+RD	O	2	case
441	2	1997	1997	N	O	10	nummod
442	3	,	[PUNCT]	FF	O	2	punct
443	4	la	la	RD	O	5	det
444	5	Conferenza	Conferenza	SP	ORG	10	nsubj
445	6	ministeriale	ministeriale	A	ORG	5	amod
446	7	dell'	dell'	E+RD	O	8	case
447	8	Aia	Aia	SP	ORG	5	nmod
448	9	ha	avere	VA	O	10	aux
449	10	redatto	redigere	V	O	0	root
450	11	una	una	RI	O	12	det
451	12	dichiarazione	dichiarazione	S	O	10	dobj
452	13	relativa	relativo	A	O	12	amod
453	14	agli	al	E+RD	O	15	case
454	15	orientamenti	orientamento	S	O	13	nmod
455	16	europei	europeo	A	O	15	amod
456	17	in	in	E	O	18	case
457	18	materia	materia	S	O	15	nmod
458	19	di	di	E	O	20	case
459	20	misure	misura	S	O	18	nmod
460	21	volte	volgere	V	O	20	acl
461	22	a	a	E	O	23	mark
462	23	prevenire	prevenire	V	O	21	xcomp
463	24	e	e	CC	O	23	cc
464	25	combattere	combattere	V	O	23	conj
465	26	in	in	E	O	27	case
466	27	modo	modo	S	O	25	nmod
467	28	efficace	efficace	A	O	27	amod
468	29	la	la	RD	O	30	det
469	30	tratta	tratta	S	O	25	dobj
470	31	delle	della	E+RD	O	32	case
471	32	donne	donna	S	O	30	nmod
472	33	a	a	E	O	34	case
473	34	fini	fine	S	O	30	nmod
474	35	dello	del	E+RD	O	36	case
475	36	sfruttamento	sfruttamento	S	O	34	nmod
476	37	sessuale	sessuale	A	O	36	amod
477	38	.	[PUNCT]	FS	O	10	punct

478	1	Infine	infine	B	O	9	advmod
479	2	,	[PUNCT]	FF	O	1	punct
480	3	nel	nel	E+RD	O	4	case
481	4	1998	1998	N	O	9	nummod
482	5	,	[PUNCT]	FF	O	4	punct
483	6	la	la	RD	O	7	det
484	7	Commissione	commissione	S	ORG	9	nsubj
485	8	ha	avere	VA	O	9	aux
486	9	adottato	adottare	V	O	0	root
487	10	un'	un'	RI	O	12	det
488	11	altra	altro	A	O	12	amod
489	12	comunicazione	comunicazione	S	O	9	nsubjpass
490	13	relativa	relativo	A	O	12	amod
491	14	a	a	E	O	16	case
492	15	nuove	nuovo	A	O	16	amod
493	16	azioni	azione	S	O	13	nmod
494	17	di	di	E	O	18	case
495	18	lotta	lotta	S	O	16	nmod
496	19	contro	contro	E	O	21	case
497	20	tale	tale	DD	O	21	det
498	21	traffico	traffico	S	O	18	nmod
499	22	.	[PUNCT]	FS	O	9	punct

500	1	Desidero	desiderare	V	PER	0	root
501	2	inoltre	inoltre	B	O	3	advmod
502	3	segnalare	segnalare	V	O	8	cc
503	4	come	come	E	O	6	case
504	5	la	la	RD	O	6	det
505	6	questione	questione	S	O	8	nmod
506	7	venga	venire	VA	O	8	auxpass
507	8	presa	prendere	V	O	1	advcl
508	9	in	in	E	O	10	case
509	10	esame	esame	S	O	8	nmod
510	11	periodicamente	periodicamente	B	O	8	advmod
511	12	nell'	nell'	E+RD	O	13	case
512	13	ambito	ambito	S	O	11	nmod
513	14	del	del	E+RD	O	15	case
514	15	dialogo	dialogo	S	O	13	nmod
515	16	transatlantico	transatlantico	A	O	15	amod
516	17	,	[PUNCT]	FF	O	8	punct
517	18	in	in	E	O	22	mark
518	19	quanto	quanto	B	O	18	mwe
519	20	il	il	RD	O	21	det
520	21	fenomeno	fenomeno	S	O	22	nsubj
521	22	colpisce	colpire	V	O	8	advcl
522	23	in	in	E	O	25	case
523	24	egual	egual	A	O	25	amod
524	25	misura	misura	S	O	22	nmod
525	26	paesi	paese	S	O	25	nmod
526	27	come	come	E	O	29	case
527	28	il	il	RD	O	29	det
528	29	Canada	Canada	SP	ORG	26	nmod
529	30	e	e	CC	O	29	cc
530	31	gli	il	RD	O	32	det
531	32	Stati	Stati	SP	LOC	29	conj
532	33	Uniti	Uniti	SP	LOC	32	name
533	34	e	e	CC	O	26	cc
534	35	non	non	BN	O	37	neg
535	36	è	essere	VA	O	37	auxpass
536	37	circoscritto	circoscrivere	V	O	26	conj
537	38	alle	alla	E+RD	O	39	case
538	39	aree	area	S	O	37	nmod
539	40	situate	situare	V	O	39	acl
540	41	in	in	E	O	42	case
541	42	prossimità	prossimità	S	O	40	nmod
542	43	dell'	dell'	E+RD	O	44	case
543	44	Unione	Unione	SP	LOC	42	nmod
544	45	europea	europea	SP	LOC	44	name
545	46	.	[PUNCT]	FS	O	1	punct

546	1	Riteniamo	ritenere	V	O	0	root
547	2	che	che	CS	O	4	case
548	3	lo	il	RD	O	4	det
549	4	scambio	scambio	S	O	1	nmod
550	5	di	di	E	O	6	case
551	6	opinioni	opinione	S	O	4	nmod
552	7	con	con	E	O	9	case
553	8	altri	altro	DI	O	9	det
554	9	paesi	paese	S	O	4	nmod
555	10	di	di	E	O	11	case
556	11	destinazione	destinazione	S	O	9	nmod
557	12	assuma	assumere	V	O	9	acl
558	13	sempre	sempre	B	O	14	advmod
559	14	maggiore	grande	A	O	15	amod
560	15	importanza	importanza	S	O	12	dobj
561	16	,	[PUNCT]	FF	O	9	punct
562	17	nell'	nell'	E+RD	O	18	case
563	18	ottica	ottica	S	O	9	nmod
564	19	di	di	E	O	20	mark
565	20	procedere	procedere	V	O	18	acl
566	21	ad	ad	E	O	23	case
567	22	un	un	RI	O	23	det
568	23	confronto	confronto	S	O	20	nmod
569	24	e	e	CC	O	23	cc
570	25	ad	ad	E	O	27	case
571	26	una	una	RI	O	27	det
572	27	valutazione	valutazione	S	O	23	conj
573	28	del	del	E+RD	O	29	case
574	29	fenomeno	fenomeno	S	O	27	nmod
575	30	,	[PUNCT]	FF	O	18	punct
576	31	nonché	nonché	CC	O	18	cc
577	32	ad	ad	E	O	34	case
578	33	un'	un'	RI	O	34	det
579	34	armonizzazione	armonizzazione	S	O	18	conj
580	35	delle	della	E+RD	O	36	case
581	36	misure	misura	S	O	34	nmod
582	37	di	di	E	O	38	case
583	38	controllo	controllo	S	O	36	nmod
584	39	.	[PUNCT]	FS	O	4	punct

585	1	Com'	come	CS	O	3	mark
586	2	è	essere	V	O	3	cop
587	3	naturale	naturale	A	O	8	advcl
588	4	,	[PUNCT]	FF	O	3	punct
589	5	la	la	RD	O	6	det
590	6	questione	questione	S	O	8	nsubj
591	7	è	essere	VA	O	8	aux
592	8	entrata	entrare	V	O	0	root
593	9	regolarmente	regolarmente	B	O	8	advmod
594	10	a	a	E	O	11	mark
595	11	far	fare	V	O	8	xcomp
596	12	parte	parte	S	O	11	dobj
597	13	dell'	dell'	E+RD	O	14	case
598	14	agenda	agenda	S	O	12	nmod
599	15	relativa	relativo	A	O	14	amod
600	16	ai	al	E+RD	O	17	case
601	17	contatti	contatto	S	O	15	nmod
602	18	con	con	E	O	20	case
603	19	i	il	RD	O	20	det
604	20	paesi	paese	S	O	17	nmod
605	21	dell'	dell'	E+RD	O	22	case
606	22	Europa	Europa	SP	LOC	20	nmod
607	23	centrale	centrale	A	O	22	amod
608	24	e	e	CC	O	23	cc
609	25	orientale	orientale	A	O	23	conj
610	26	,	[PUNCT]	FF	O	14	punct
611	27	che	che	PR	O	30	nsubj
612	28	sono	essere	V	O	30	cop
613	29	sia	essere	V	O	30	cop
614	30	paesi	paese	S	O	14	acl:relcl
615	31	di	di	E	O	32	case
616	32	transito	transito	S	O	30	nmod
617	33	che	che	PR	O	32	nmod
618	34	di	di	E	O	35	case
619	35	origine	origine	S	O	33	nmod
620	36	di	di	E	O	38	case
621	37	gran	gran	A	O	38	amod
622	38	parte	parte	S	O	35	nmod
623	39	di	di	E	O	41	case
624	40	tale	tale	DD	O	41	det
625	41	traffico	traffico	S	O	38	nmod
626	42	.	[PUNCT]	FS	O	8	punct

627	1	In	in	E	O	3	case
628	2	questo	questo	DD	O	3	det
629	3	campo	campo	S	O	4	nmod
630	4	esistono	esistere	V	O	0	root
631	5	campagne	campagna	S	O	4	nsubj
632	6	finanziate	finanziare	V	O	5	acl
633	7	dal	dal	E+RD	O	8	case
634	8	programma	programma	S	O	6	nmod
635	9	PHARE	PHARE	SP	O	8	nmod
636	10	,	[PUNCT]	FF	O	4	punct
637	11	alcune	alcun	DI	O	13	det
638	12	delle	della	E+RD	O	13	case
639	13	quali	quali	PR	O	4	nmod
640	14	con	con	E	O	16	case
641	15	l'	l'	RD	O	16	det
642	16	ausilio	ausilio	S	O	13	nmod
643	17	dell'	dell'	E+RD	O	18	case
644	18	Organizzazione	organizzazione	S	O	16	nmod
645	19	internazionale	internazionale	A	O	18	amod
646	20	per	per	E	O	22	case
647	21	le	la	RD	O	22	det
648	22	migrazioni	migrazione	S	O	16	nmod
649	23	.	[PUNCT]	FS	O	4	punct

650	1	Tengo	tenere	V	O	0	root
651	2	a	a	E	O	3	mark
652	3	mettere	mettere	V	O	1	xcomp
653	4	in	in	E	O	5	case
654	5	chiaro	chiaro	A	O	3	nmod
655	6	che	che	CS	O	11	mark
656	7	il	il	RD	O	8	det
657	8	Consiglio	consiglio	S	ORG	11	nsubj
658	9	non	non	BN	O	11	neg
659	10	vuole	volere	VM	O	11	aux
660	11	fare	fare	V	O	3	ccomp
661	12	commenti	commento	S	O	11	dobj
662	13	sulle	sulla	E+RD	O	14	case
663	14	cifre	cifra	S	O	12	nmod
664	15	fornite	fornire	V	O	14	acl
665	16	dal	dal	E+RD	O	17	case
666	17	Ministro	ministro	S	ORG	15	nmod
667	18	degli	del	E+RD	ORG	19	case
